id,sport,original_sport,confidence,conf_gap
701864,Smučarski skoki,Smučarski skoki,0.4705,0.0035
731989,Smučarski skoki,Smučarski skoki,0.8681,0.0035
736742,Smučarski skoki,Smučarski skoki,0.5053,0.0035
701418,Smučarski skoki,Smučarski skoki,0.8637,0.0037
777819,Smučarski skoki,Smučarski skoki,0.8561,0.0037
702610,Smučarski skoki,Smučarski skoki,0.517,0.0037
754359,Smučarski skoki,Alpsko smučanje,0.6621,0.0
772657,Alpsko smučanje,Alpsko smučanje,0.5114,0.0004
730795,Alpsko smučanje,Alpsko smučanje,0.8654,0.0004
671285,Drugo,Alpsko smučanje,0.4911,0.0005
773175,Alpsko smučanje,Alpsko smučanje,0.7744,0.0005
767448,Biatlon,Alpsko smučanje,0.3386,0.0006
694672,Alpsko smučanje,Alpsko smučanje,0.4132,0.0007
773067,Alpsko smučanje,Alpsko smučanje,0.5573,0.0008
772238,Smučarski skoki,Alpsko smučanje,0.4412,0.0008
696872,Alpsko smučanje,Alpsko smučanje,0.5884,0.0009
689763,Smučarski skoki,Alpsko smučanje,0.7316,0.0009
716468,Drugo,Alpsko smučanje,0.686,0.001
730354,Drugo,Alpsko smučanje,0.3941,0.001
695023,Alpsko smučanje,Alpsko smučanje,0.8331,0.0011
729096,Drugo,Alpsko smučanje,0.289,0.0012
688232,Alpsko smučanje,Alpsko smučanje,0.7173,0.0013
776226,Alpsko smučanje,Alpsko smučanje,0.3982,0.0013
685013,Alpsko smučanje,Alpsko smučanje,0.8642,0.0014
767110,Alpsko smučanje,Alpsko smučanje,0.7091,0.0014
732802,Drugo,Alpsko smučanje,0.23,0.0014
696355,Drugo,Alpsko smučanje,0.6291,0.0016
731267,Alpsko smučanje,Alpsko smučanje,0.4173,0.0016
773972,Alpsko smučanje,Alpsko smučanje,0.8396,0.0019
741831,Drugo,Alpsko smučanje,0.5468,0.002
736044,Smučarski skoki,Alpsko smučanje,0.465,0.0022
716345,Drugo,Alpsko smučanje,0.4832,0.0023
775508,Alpsko smučanje,Alpsko smučanje,0.539,0.0024
693967,Alpsko smučanje,Alpsko smučanje,0.6992,0.0025
675941,Drugo,Alpsko smučanje,0.6737,0.0025
739581,Drugo,Alpsko smučanje,0.141,0.0026
695762,Drugo,Alpsko smučanje,0.4615,0.0026
746984,Drugo,Alpsko smučanje,0.2615,0.0029
694188,Alpsko smučanje,Alpsko smučanje,0.3919,0.0029
772605,Smučarski skoki,Alpsko smučanje,0.5977,0.0031
772807,Alpsko smučanje,Alpsko smučanje,0.7816,0.0031
770977,Alpsko smučanje,Alpsko smučanje,0.5443,0.0031
740501,Alpsko smučanje,Alpsko smučanje,0.772,0.0033
688506,Smučarski skoki,Alpsko smučanje,0.576,0.0033
772732,Alpsko smučanje,Alpsko smučanje,0.5712,0.0035
737575,Alpsko smučanje,Alpsko smučanje,0.708,0.0035
734833,Alpsko smučanje,Alpsko smučanje,0.9088,0.0036
673737,Drugo,Alpsko smučanje,0.588,0.0036
744237,Alpsko smučanje,Alpsko smučanje,0.6777,0.0036
755971,Drugo,Alpsko smučanje,0.3996,0.0036
714057,Drugo,Alpsko smučanje,0.8691,0.0037
771899,Drugo,Alpsko smučanje,0.7682,0.004
691397,Drugo,Alpsko smučanje,0.7947,0.0042
773914,Biatlon,Alpsko smučanje,0.267,0.0043
729187,Alpsko smučanje,Alpsko smučanje,0.5651,0.0045
725132,Alpsko smučanje,Alpsko smučanje,0.7939,0.0046
769597,Alpsko smučanje,Alpsko smučanje,0.6379,0.0047
697201,Alpsko smučanje,Alpsko smučanje,0.7166,0.0047
741475,Alpsko smučanje,Alpsko smučanje,0.6702,0.0047
672479,Alpsko smučanje,Alpsko smučanje,0.9076,0.0048
733326,Alpsko smučanje,Alpsko smučanje,0.485,0.0049
772590,Alpsko smučanje,Alpsko smučanje,0.1776,0.0049
766215,Alpsko smučanje,Alpsko smučanje,0.3436,0.0049
766437,Drugo,Alpsko smučanje,0.5717,0.005
706098,Alpsko smučanje,Alpsko smučanje,0.6877,0.005
769738,Alpsko smučanje,Alpsko smučanje,0.606,0.005
722978,Atletika,Atletika,0.2533,0.0028
